code,numeric_code,name,minor_units,symbol,entity,status,is_independent,pegged_to,peg_type,peg_rate
RON,946,Romanian Leu,2,lei,Romania,active,true,,,
RSD,941,Serbian Dinar,2,дин,Serbia,active,true,,,
RUB,643,Russian Ruble,2,₽,Russia,active,true,,,
RWF,646,Rwandan Franc,0,FRw,Rwanda,active,true,,,
SAR,682,Saudi Riyal,2,ر.س,Saudi Arabia,active,false,USD,single,3.75
SBD,090,Solomon Islands Dollar,2,SI$,Solomon Islands,active,true,,,
SCR,690,Seychellois Rupee,2,₨,Seychelles,active,true,,,
SDG,938,Sudanese Pound,2,ج.س,Sudan,active,true,,,
SEK,752,Swedish Krona,2,kr,Sweden,active,true,,,
SGD,702,Singapore Dollar,2,S$,Singapore,active,true,,,
SHP,654,Saint Helena Pound,2,£,"Saint Helena, Ascension and Tristan da Cunha",active,false,GBP,single,1.0
SLE,925,Sierra Leonean Leone,2,Le,Sierra Leone,active,true,,,
SOS,706,Somali Shilling,2,Sh.So.,Somalia,active,true,,,
SRD,968,Surinamese Dollar,2,$,Suriname,active,true,,,
SSP,728,South Sudanese Pound,2,SS£,South Sudan,active,true,,,
STN,930,São Tomé and Príncipe Dobra,2,Db,São Tomé and Príncipe,active,false,EUR,single,24.5
SVC,222,Salvadoran Colón,2,₡,El Salvador,active,false,USD,single,8.75
SYP,760,Syrian Pound,2,£S,Syria,active,true,,,
SZL,748,Swazi Lilangeni,2,L,Eswatini,active,false,ZAR,single,1.0
THB,764,Thai Baht,2,฿,Thailand,active,true,,,
TJS,972,Tajikistani Somoni,2,SM,Tajikistan,active,true,,,
TMT,934,Turkmenistani Manat,2,m,Turkmenistan,active,true,,,
TND,788,Tunisian Dinar,3,د.ت,Tunisia,active,true,,,
TOP,776,Tongan Paʻanga,2,T$,Tonga,active,true,,,
TRY,949,Turkish Lira,2,₺,Turkey,active,true,,,
TTD,780,Trinidad and Tobago Dollar,2,TT$,Trinidad and Tobago,active,true,,,
TWD,901,New Taiwan Dollar,2,NT$,Taiwan,active,true,,,
TZS,834,Tanzanian Shilling,2,TSh,Tanzania,active,true,,,
UAH,980,Ukrainian Hryvnia,2,₴,Ukraine,active,true,,,
UGX,800,Ugandan Shilling,0,USh,Uganda,active,true,,,
USD,840,US Dollar,2,$,United States,active,true,,,
USN,997,US Dollar (next day),2,USN,United States,active,false,USD,single,1.0
USS,998,US Dollar (same day),2,USS,United States,active,false,USD,single,1.0
UYI,940,Uruguay Peso en Unidades Indexadas,0,UYI,Uruguay,active,true,,,
UYU,858,Uruguayan Peso,2,$U,Uruguay,active,true,,,
UYW,927,Unidad Previsional,4,UYW,Uruguay,active,true,,,
UZS,860,Uzbekistani Som,2,so'm,Uzbekistan,active,true,,,
VED,926,Venezuelan Digital Bolívar,2,VED,Venezuela,active,true,,,
VES,928,Venezuelan Bolívar Soberano,2,Bs.S,Venezuela,active,true,,,
VND,704,Vietnamese Dong,0,₫,Vietnam,active,true,,,
VUV,548,Vanuatu Vatu,0,VT,Vanuatu,active,true,,,
WST,882,Samoan Tala,2,WS$,Samoa,active,true,,,
XAF,950,Central African CFA Franc,0,CFA,Economic and Monetary Community of Central Africa (CEMAC),active,false,EUR,single,655.957
XCD,951,East Caribbean Dollar,2,EC$,Eastern Caribbean Currency Union,active,false,USD,single,2.7
XOF,952,West African CFA Franc,0,CFA,West African Economic and Monetary Union (UEMOA),active,false,EUR,single,655.957
XPF,953,CFP Franc,0,₣,French Pacific Territories,active,false,EUR,single,119.332
YER,886,Yemeni Rial,2,﷼,Yemen,active,true,,,
ZAR,710,South African Rand,2,R,South Africa,active,true,,,
ZMW,967,Zambian Kwacha,2,ZK,Zambia,active,true,,,
ZWG,924,Zimbabwe Gold,2,ZiG,Zimbabwe,active,true,,,
ADF,250,Andorran Franc,2,F,France,withdrawn,false,,,
ADP,020,Andorran Peseta,0,Pts,Andorra,withdrawn,false,,,
AFA,004,Afghan Afghani (old),2,؋,Afghanistan,withdrawn,false,,,
ALK,008,Albanian Lek (old),0,L,Albania,withdrawn,false,,,
AOK,024,Angolan Kwanza (1977),0,Kz,Angola,withdrawn,false,,,
AON,024,Angolan Novo Kwanza,0,Kz,Angola,withdrawn,false,,,
AOR,982,Angolan Kwanza Reajustado,0,Kz,Angola,withdrawn,false,,,
ARA,032,Argentine Austral,2,₳,Argentina,withdrawn,false,,,
ARL,032,Argentine Peso Ley,2,$L,Argentina,withdrawn,false,,,
ARM,032,Argentine Peso Moneda Nacional,2,m$n,Argentina,withdrawn,false,,,
ARP,032,Argentine Peso Argentino,2,$a,Argentina,withdrawn,false,,,
ARY,032,Argentine Peso Ley (alternative code),0,$L,Argentina,withdrawn,false,,,
ATS,040,Austrian Schilling,2,S,Austria,withdrawn,false,,,
AZM,031,Azerbaijani Manat (old),2,₼,Azerbaijan,withdrawn,false,,,
BAD,070,Bosnia and Herzegovina Dinar,2,BAD,Bosnia and Herzegovina,withdrawn,false,,,
BEC,993,Belgian Convertible Franc,0,FB,Belgium,withdrawn,false,,,
BEF,056,Belgian Franc,2,fr.,Belgium,withdrawn,false,,,
BEL,992,Belgian Financial Franc,0,FB,Belgium,withdrawn,false,,,
BGJ,100,Bulgarian Lev (1962),0,лв,Bulgaria,withdrawn,false,,,
BGK,100,Bulgarian Lev (1997),0,лв,Bulgaria,withdrawn,false,,,
BGL,100,Bulgarian Lev (1999),2,лв,Bulgaria,withdrawn,false,,,
BOP,068,Bolivian Peso,2,b$,Bolivia,withdrawn,false,,,
BRB,076,Brazilian Cruzeiro,2,Cr$,Brazil,withdrawn,false,,,
BRC,076,Brazilian Cruzado,2,Cz$,Brazil,withdrawn,false,,,
BRE,076,Brazilian Cruzeiro (1990),2,Cr$,Brazil,withdrawn,false,,,
BRN,076,Brazilian Cruzado Novo,2,NCz$,Brazil,withdrawn,false,,,
BRR,987,Brazilian Cruzeiro Real,2,CR$,Brazil,withdrawn,false,,,
BUK,104,Burmese Kyat (old),0,K,Myanmar (formerly Burma),withdrawn,false,,,
BYB,112,Belarusian Ruble (1992),2,Br,Belarus,withdrawn,false,,,
BYR,974,Belarusian Ruble (2000),0,Br,Belarus,withdrawn,false,,,
CHC,948,WIR Franc (electronic),2,CHC,Switzerland,withdrawn,false,,,
CSD,891,Serbian Dinar (2003),2,CSD,Yugoslavia,withdrawn,false,,,
CSJ,203,Czechoslovak Koruna (1993),2,Kčs,Czechoslovakia,withdrawn,false,,,
CSK,200,Czechoslovak Koruna,2,Kčs,Czechoslovakia,withdrawn,false,,,
CYP,196,Cypriot Pound,2,£,Cyprus,withdrawn,false,,,
DDM,278,East German Mark,0,M,German Democratic Republic,withdrawn,false,,,
DEM,276,German Mark,2,DM,Germany,withdrawn,false,,,
ECS,218,Ecuadorian Sucre,0,S/.,Ecuador,withdrawn,false,,,
ECV,983,Ecuadorian Unidad de Valor Constante,2,UVC,Ecuador,withdrawn,false,,,
EEK,233,Estonian Kroon,2,kr,Estonia,withdrawn,false,,,
ESA,996,Spanish Peseta (Account A),0,Pts,Spain,withdrawn,false,,,
ESB,995,Spanish Peseta (Account B),0,Pts,Spain,withdrawn,false,,,
ESP,724,Spanish Peseta,0,Pts,Spain,withdrawn,false,,,
FIM,246,Finnish Markka,2,mk,Finland,withdrawn,false,,,
FRF,250,French Franc,2,F,France,withdrawn,false,,,
GEK,268,Georgian Kuponi,0,GEK,Georgia,withdrawn,false,,,
GHC,288,Ghanaian Cedi (old),2,GH₵,Ghana,withdrawn,false,,,
GHP,939,Ghanaian Cedi (transitional),2,GH₵,Ghana,withdrawn,false,,,
GNE,324,Guinean Syli,0,S,Guinea,withdrawn,false,,,
GNS,324,Guinean Syli (alternative code),0,S,Guinea,withdrawn,false,,,
GQE,226,Equatorial Guinean Ekwele,0,E,Equatorial Guinea,withdrawn,false,,,
GRD,300,Greek Drachma,0,Δρχ,Greece,withdrawn,false,,,
GWE,624,Guinean Escudo,0,GWE,Guinea-Bissau,withdrawn,false,,,
GWP,624,Guinea-Bissau Peso,2,PG,Guinea-Bissau,withdrawn,false,,,
HRD,191,Croatian Dinar,0,HRD,Croatia,withdrawn,false,,,
HRK,191,Croatian Kuna,2,kn,Croatia,withdrawn,false,,,
IEP,372,Irish Pound,2,£,Ireland,withdrawn,false,,,
ILP,376,Israeli Pound,0,ILP,Israel,withdrawn,false,,,
ILR,376,Israeli Shekel (old),2,IS,Israel,withdrawn,false,,,
ISJ,352,Icelandic Króna (old),2,kr,Iceland,withdrawn,false,,,
ITL,380,Italian Lira,0,₤,Italy,withdrawn,false,,,
LAJ,418,Lao Kip (old),0,₭,Laos,withdrawn,false,,,
LSM,426,Lesotho Loti (old),0,L,Lesotho,withdrawn,false,,,
LTL,440,Lithuanian Litas,2,Lt,Lithuania,withdrawn,false,,,
LTT,440,Lithuanian Talonas,2,LTT,Lithuania,withdrawn,false,,,
LUC,989,Luxembourg Convertible Franc,0,LUC,Luxembourg,withdrawn,false,,,
LUF,442,Luxembourg Franc,2,F,Luxembourg,withdrawn,false,,,
LUL,988,Luxembourg Financial Franc,0,LUL,Luxembourg,withdrawn,false,,,
LVL,428,Latvian Lats,2,Ls,Latvia,withdrawn,false,,,
LVR,428,Latvian Rublis,2,LVR,Latvia,withdrawn,false,,,
MCF,250,Monégasque Franc,2,F,France,withdrawn,false,,,
MGF,450,Malagasy Franc,0,FMG,Madagascar,withdrawn,false,,,
MKN,807,Macedonian Denar (old),0,MKN,North Macedonia,withdrawn,false,,,
MLF,466,Malian Franc,0,MLF,Mali,withdrawn,false,,,
MRO,478,Mauritanian Ouguiya (old),2,UM,Mauritania,withdrawn,false,,,
MTL,470,Maltese Lira,2,Lm,Malta,withdrawn,false,,,
MTP,470,Maltese Pound,0,£M,Malta,withdrawn,false,,,
MVQ,462,Maldivian Rupee,0,MRF,Maldives,withdrawn,false,,,
MXN_OLD,484,Mexican Peso (pre-1993),2,MXP,Mexico,withdrawn,false,,,
MXP,484,Mexican Peso (pre-1993),0,$,Mexico,withdrawn,false,,,
MZE,508,Mozambican Escudo,2,MZE,Mozambique,withdrawn,false,,,
MZM,508,Mozambican Metical (old),2,MT,Mozambique,withdrawn,false,,,
NIC,558,Nicaraguan Córdoba (1988),2,C$,Nicaragua,withdrawn,false,,,
NLG,528,Dutch Guilder,2,ƒ,Netherlands,withdrawn,false,,,
PEH,604,Peruvian Sol de Oro,0,S/.,Peru,withdrawn,false,,,
PEI,604,Peruvian Inti,0,I/.,Peru,withdrawn,false,,,
PES,604,Peruvian Sol (alternative code),2,S/.,Peru,withdrawn,false,,,
PLZ,616,Polish Zloty (old),2,PLZ,Poland,withdrawn,false,,,
PTE,620,Portuguese Escudo,0,$,Portugal,withdrawn,false,,,
RHD,716,Rhodesian Dollar,2,R$,Zimbabwe,withdrawn,false,,,
ROK,642,Romanian Leu (old),0,ROL,Romania,withdrawn,false,,,
ROL,642,Romanian Leu (old),2,ROL,Romania,withdrawn,false,,,
RUR,810,Russian Ruble (old),2,RUR,Russia,withdrawn,false,,,
SDD,736,Sudanese Dinar,2,SDD,Sudan,withdrawn,false,,,
SDP,736,Sudanese Pound (old),0,SDP,Sudan,withdrawn,false,,,
SIT,705,Slovenian Tolar,2,SIT,Slovenia,withdrawn,false,,,
SKK,703,Slovak Koruna,2,Sk,Slovakia,withdrawn,false,,,
SLL,694,Sierra Leonean Leone (old),2,Le,Sierra Leone,withdrawn,false,,,
SML,380,San Marinese Lira,0,₤,Italy,withdrawn,false,,,
SRG,740,Surinamese Guilder,2,SRG,Suriname,withdrawn,false,,,
STD,678,São Tomé and Príncipe Dobra (old),2,Db,São Tomé and Príncipe,withdrawn,false,,,
SUR,810,Soviet Union Ruble,0,SUR,Russia,withdrawn,false,,,
TJR,762,Tajikistani Ruble,0,TJR,Tajikistan,withdrawn,false,,,
TMM,795,Turkmenistani Manat (old),2,m,Turkmenistan,withdrawn,false,,,
TPE,626,Portuguese Timorese Escudo,0,$,East Timor,withdrawn,false,,,
TRL,792,Turkish Lira (old),0,TL,Turkey,withdrawn,false,,,
UAK,804,Ukrainian Karbovanets,2,UAK,Ukraine,withdrawn,false,,,
UGS,800,Ugandan Shilling (old),0,UGS,Uganda,withdrawn,false,,,
UGW,800,"Ugandan Shilling (old, alternative)",0,UGW,Uganda,withdrawn,false,,,
UYN,858,Uruguayan Peso (old),2,UYN,Uruguay,withdrawn,false,,,
UYP,858,Uruguayan New Peso,0,UYP,Uruguay,withdrawn,false,,,
VAL,380,Vatican Lira,0,₤,Italy,withdrawn,false,,,
VEB,862,Venezuelan Bolívar (old),2,Bs,Venezuela,withdrawn,false,,,
VEF,937,Venezuelan Bolívar Fuerte,2,Bs.F,Venezuela,withdrawn,false,,,
VNC,704,Vietnamese Dong (old),0,₫,Vietnam,withdrawn,false,,,
XEU,954,European Currency Unit,0,ECU,European Union,withdrawn,false,,,
XFO,955,Gold Franc,0,XFO,Bank for International Settlements,withdrawn,false,,,
XFU,956,UIC Franc,0,XFU,International Union of Railways,withdrawn,false,,,
XRE,957,RINET Funds Code,0,XRE,RINET,withdrawn,false,,,
YDD,720,South Yemeni Dinar,0,YD,Yemen (formerly South Yemen),withdrawn,false,,,
YUD,890,Yugoslav Dinar (1966),2,din.,Yugoslavia,withdrawn,false,,,
YUG,890,Yugoslav January Dinar,2,din.,Yugoslavia,withdrawn,false,,,
YUM,891,Yugoslav Novi Dinar,2,din.,Yugoslavia,withdrawn,false,,,
YUN,890,Yugoslav Convertible Dinar,2,din.,Yugoslavia,withdrawn,false,,,
YUO,890,Yugoslav October Dinar,2,din.,Yugoslavia,withdrawn,false,,,
YUR,890,Yugoslav Reformed Dinar,2,din.,Yugoslavia,withdrawn,false,,,
ZAL,991,South African Financial Rand,2,ZAL,South Africa,withdrawn,false,,,
ZMK,894,Zambian Kwacha (1968),2,ZK,Zambia,withdrawn,false,,,
ZRN,180,Zairean New Zaire,2,NZ,Democratic Republic of the Congo,withdrawn,false,,,
ZRZ,180,Zairean Zaire,2,Z,Democratic Republic of the Congo,withdrawn,false,,,
ZWC,716,Rhodesian Dollar,2,R$,Zimbabwe,withdrawn,false,,,
ZWD,716,Zimbabwean Dollar (1980),2,Z$,Zimbabwe,withdrawn,false,,,
ZWL,932,Zimbabwean Dollar (2009),2,Z$,Zimbabwe,withdrawn,false,,,
ZWN,942,Zimbabwean Dollar (2006),2,Z$,Zimbabwe,withdrawn,false,,,
ZWR,935,Zimbabwean Dollar (2008),2,Z$,Zimbabwe,withdrawn,false,,,
